data_level,route,scenario,is_crisis,route_distance_km,avg_route_duration_minutes,time_shortest_s,time_traffic_s,time_gnn_s,time_classifier_s,compute_time_shortest_s,compute_time_traffic_s,compute_time_gnn_s,compute_time_classifier_s,winner,seed
90,West to East,Car crashes in Lazdynai,True,13.05,23.8,1523,1333,1488,1707,0.032,0.086,0.672,0.307,TRAFFIC,80061360
90,North to South,Car crashes in Lazdynai,True,11.58,17.51,1221,880,880,1107,0.038,0.099,0.471,0.307,TIE,80036360
90,Pilaite to Pasilaiciai,Car crashes in Lazdynai,True,9.88,15.48,929,929,929,1108,0.029,0.083,0.483,0.239,TIE,80001360
90,Lazdynai to Antakalnis,Car crashes in Lazdynai,True,10.11,19.42,1404,926,927,1220,0.03,0.084,0.496,0.296,TIE,80016560
90,Pilaite to Fabijoniskes,Car crashes in Lazdynai,True,10.76,17.41,1030,1059,1085,1217,0.029,0.082,0.468,0.325,TRAFFIC,80006360
90,Lazdynai to Jeruzale,Car crashes in Lazdynai,True,9.79,15.97,1078,838,838,1035,0.03,0.088,0.602,0.286,TIE,79946360
90,South to Northeast,Car crashes in Lazdynai,True,11.13,23.23,1716,1072,1072,1287,0.03,0.088,0.491,0.337,TIE,79974360
90,Ring road W to E,Car crashes in Lazdynai,True,16.35,25.16,1920,1099,1107,1876,0.037,0.083,0.619,0.326,TRAFFIC,80066360
90,Grigiskes to Verkiai,Car crashes in Lazdynai,True,24.31,30.49,1923,1736,1736,1815,0.035,0.087,0.563,0.312,TIE,79978760
90,Salininkai to Seskine,Car crashes in Lazdynai,True,9.3,15.07,1079,730,730,741,0.035,0.074,0.684,0.183,TIE,79921360
90,Old Town loop,Protest at seimas Closure on Gedimino pr.,True,1.53,5.51,333,328,328,328,0.023,0.076,0.628,0.089,TIE,79988718
90,Station to centre,Protest at seimas Closure on Gedimino pr.,True,1.69,7.28,453,421,457,421,0.024,0.082,0.505,0.141,TRAFFIC,79971918
90,Uzupis internal,Protest at seimas Closure on Gedimino pr.,True,2.14,6.13,368,368,368,368,0.13,0.111,0.538,0.081,TIE,79999918
90,Zirmunai to Naujamiestis,Protest at seimas Closure on Gedimino pr.,True,5.68,14.74,1053,716,911,1122,0.025,0.078,0.427,0.335,TRAFFIC,79994818
